"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"	"Absolute (rad/s)"
5.331193030E-1	-4.674999975E-3	1.512499992E-3	9.624999948E-4	5.006963873E-3
5.352646120E-1	-7.149999961E-3	4.124999978E-4	-2.749999985E-4	7.167166853E-3
5.374122260E-1	-9.624999948E-3	4.124999978E-4	-2.749999985E-4	9.637759348E-3
5.395577900E-1	-1.086249948E-2	1.512499992E-3	-2.749999985E-4	1.097074182E-2
5.417052500E-1	-1.319999993E-2	1.512499992E-3	-1.512499992E-3	1.337218421E-2
5.438507130E-1	-1.443750039E-2	1.512499992E-3	-2.749999985E-4	1.451911494E-2
5.459984040E-1	-1.443750039E-2	1.512499992E-3	-2.749999985E-4	1.451911494E-2
5.481437130E-1	-1.567500085E-2	1.512499992E-3	-1.512499992E-3	1.582027067E-2
5.502913510E-1	-1.691249944E-2	4.124999978E-4	-2.749999985E-4	1.691976414E-2
5.524368910E-1	-1.691249944E-2	4.124999978E-4	9.624999948E-4	1.694488713E-2
5.545843510E-1	-1.691249944E-2	4.124999978E-4	-2.749999985E-4	1.691976414E-2
5.567298140E-1	-1.691249944E-2	1.512499992E-3	-2.749999985E-4	1.698222361E-2
5.588775050E-1	-1.567500085E-2	4.124999978E-4	-2.749999985E-4	1.568283880E-2
5.610228130E-1	-1.691249944E-2	1.512499992E-3	-2.749999985E-4	1.698222361E-2
5.631704270E-1	-1.443750039E-2	1.512499992E-3	-2.749999985E-4	1.451911494E-2
5.653159670E-1	-1.443750039E-2	4.124999978E-4	-2.749999985E-4	1.444600978E-2
5.674634270E-1	-1.319999993E-2	4.124999978E-4	-1.512499992E-3	1.329277287E-2
5.696088900E-1	-1.319999993E-2	1.512499992E-3	-2.749999985E-4	1.328921666E-2
5.717565720E-1	-1.196249947E-2	4.124999978E-4	-2.749999985E-4	1.197276805E-2
5.739018810E-1	-1.086249948E-2	4.124999978E-4	-2.749999985E-4	1.087380688E-2
5.760494950E-1	-7.149999961E-3	1.512499992E-3	-2.749999985E-4	7.313397341E-3
5.781950350E-1	-8.387500420E-3	1.512499992E-3	-2.749999985E-4	8.527217865E-3
5.803424950E-1	-8.387500420E-3	4.124999978E-4	-1.512499992E-3	8.532758978E-3
5.824879770E-1	-4.674999975E-3	4.124999978E-4	9.624999948E-4	4.790844106E-3
5.846356680E-1	-3.437499981E-3	4.124999978E-4	-2.749999985E-4	3.473065990E-3
5.867809770E-1	-2.199999988E-3	4.124999978E-4	-2.749999985E-4	2.255167664E-3
5.889285910E-1	1.374999993E-4	4.124999978E-4	9.624999948E-4	1.056157535E-3
5.910741310E-1	2.612499986E-3	4.124999978E-4	-2.749999985E-4	2.659123431E-3
5.932215810E-1	2.612499986E-3	-8.249999955E-4	-2.749999985E-4	2.753435339E-3
5.953670440E-1	3.849999979E-3	4.124999978E-4	9.624999948E-4	3.989869964E-3
5.975145040E-1	6.324999966E-3	-8.249999955E-4	-2.749999985E-4	6.384502687E-3
5.996600440E-1	7.562499959E-3	-8.249999955E-4	9.624999948E-4	7.668013880E-3
